Model,Dataset,Loss,ACC,PRE,REC,F1,W_PRE,W_REC,W_F1
DG+DG,MIntRec,L1,84.49,83.72,84.44,83.35,84.14,84.49,83.81
DG+DG,MIntRec,L2,85.28,85.42,84.92,84.85,85.25,85.28,85.03
DG+DG,MIntRec,L3,84.94,83.92,85.16,84.01,84.83,84.94,84.53
DG+DG,MIntRec,L4,85.07,84.18,84.23,83.83,85.14,85.07,84.82

DG+DG,MIntRec2.0,L1,73.67,73.08,63.79,72.78,72.78,72.55,73.67
DG+DG,MIntRec2.0,L2,73.75,73.08,69.96,70.69,72.60,73.75,72.63
DG+DG,MIntRec2.0,L3,74.05,73.34,70.08,70.82,73.10,74.05,72.93
DG+DG,MIntRec2.0,L4,73.97,72.76,70.63,71.06,73.13,73.97,73.15

HC+DG,MIntRec,L1,82.47,77.53,77.48,76.39,79.51,82.47,80.23
HC+DG,MIntRec,L2,81.80,75.83,75.91,74.34,78.59,81.80,79.24
HC+DG,MIntRec,L3,82.92,77.93,78.50,77.51,79.63,82.92,80.72
HC+DG,MIntRec,L4,85.72,85.09,84.65,84.55,85.88,85.72,85.57

HC+DG,MIntRec2.0,L1,73.51,74.80,68.33,69.39,73.26,73.51,72.14
HC+DG,MIntRec2.0,L2,72.78,71.26,66.74,67.31,72.16,72.78,71.01
HC+DG,MIntRec2.0,L3,73.32,74.41,67.77,68.47,73.03,73.32,71.76
HC+DG,MIntRec2.0,L4,73.84,72.79,70.58,71.04,73.05,73.84,73.05
