Section,Component,MIntRec_ACC,MIntRec_WP,MIntRec_WR,MIntRec_WF1,MIntRec_P,MIntRec_R,MIntRec_F1,MIntRec2_ACC,MIntRec2_WP,MIntRec2_WR,MIntRec2_WF1,MIntRec2_P,MIntRec2_R,MIntRec2_F1

HyperGCL,A0 Identity,83.82,0.8075,0.8382,0.8202,0.774,0.7964,0.7824,73.37,72.74,73.37,72.64,72.44,70.08,70.65
HyperGCL,A1 Naive Hyperedge Pert.,79.33,0.738,0.7933,0.758,0.6642,0.7083,0.6781,73.91,72.86,73.91,73.03,72.38,70.46,70.85
HyperGCL,A2 Gen Hyperedge Pert.,81.35,0.7699,0.8135,0.7859,0.7177,0.749,0.7263,73.99,73.14,73.99,73.11,72.90,69.95,70.54
HyperGCL,A3 Vertex Dropping,81.24,0.7726,0.8124,0.7864,0.7115,0.7469,0.7227,74.26,73.26,74.26,73.38,72.98,70.77,71.17
HyperGCL,A4 Attribute Masking,79.44,0.7375,0.7944,0.7587,0.6644,0.7096,0.6791,74.26,73.08,74.26,73.35,72.59,70.68,71.02
HyperGCL,A5 Subgraph,85.51,0.8427,0.8551,0.8463,0.8318,0.8337,0.8294,,,,,,,
HyperGCL,A6 Feature+Edge,79.66,0.7421,0.7966,0.7615,0.6672,0.7117,0.6812,74.13,73.12,74.13,73.29,72.78,70.76,71.13
HyperGCL,A6 Adaptive Feature Only,79.66,0.7443,0.7966,0.7619,0.6692,0.7155,0.6837,74.29,73.15,74.29,73.38,72.44,70.62,70.91
HyperGCL,A6 Adaptive Edge Only,79.78,0.7410,0.7978,0.7621,0.6658,0.7155,0.6827,74.07,73.25,74.07,73.23,73.01,70.39,70.91

HC+DG,A1 Naive Hyperedge Pert.,82.81,79.38,82.81,80.62,78.35,78.62,78.04,72.06,71.77,72.06,70.18,70.94,65.27,65.58
HC+DG,A2 Gen Hyperedge Pert.,83.13,81.55,83.15,81.45,81.99,79.27,79.11,72.19,71.62,72.19,70.44,70.78,65.09,65.75
HC+DG,A3 Vertex Dropping,83.03,79.51,83.03,80.77,78.06,78.49,77.74,,,,,,,
HC+DG,A4 Attribute Masking,81.69,77.93,81.69,79.11,75.60,75.56,74.76,72.76,71.88,72.76,71.12,70.95,66.24,67.00

DG+DG,Feature-Feature,84.49,84.80,84.49,83.88,84.67,83.98,83.25,73.78,73.13,73.78,72.75,73.88,69.62,70.87
DG+DG,Feature-Edge,85.28,84.98,85.28,84.91,84.74,85.04,84.53,73.62,72.89,73.62,72.65,73.71,69.58,70.82
DG+DG,Edge-Feature,85.17,84.78,85.17,84.63,84.37,84.51,83.98,73.83,73.24,73.83,72.88,74.07,69.82,71.00
DG+DG,Edge-Edge,85.17,85.42,85.17,84.72,85.31,85.01,84.27,73.78,73.18,73.78,72.82,74.15,69.53,70.97
DG+DG,All(F&E,F&E),85.84,86.41,85.84,85.89,86.25,84.94,85.32,74.02,73.26,74.02,73.32,72.59,71.21,71.37
